# x_m,y_m,w_tr_right_m,w_tr_left_m
0.7600,-4.6010,0.6000,0.6000
0.7100,-4.5510,0.5500,0.5500
0.6600,-4.5510,0.5500,0.5500
0.6100,-4.5510,0.5523,0.5523
0.5600,-4.5510,0.5500,0.5500
0.5100,-4.5510,0.5500,0.5500
0.4600,-4.5510,0.5523,0.5523
0.4100,-4.5010,0.5099,0.5099
0.3600,-4.5010,0.5220,0.5220
0.3100,-4.5010,0.5385,0.5385
0.2600,-4.4510,0.5025,0.5025
0.2100,-4.4510,0.5099,0.5099
0.1600,-4.4510,0.5220,0.5220
0.1100,-4.4010,0.4924,0.4924
0.0600,-4.4010,0.5148,0.5148
0.0100,-4.4010,0.5148,0.5148
-0.0400,-4.3510,0.5315,0.5315
-0.0900,-4.3010,0.5099,0.5099
-0.1400,-4.3010,0.5220,0.5220
-0.1900,-4.2510,0.4924,0.4924
-0.2400,-4.2510,0.5148,0.5148
-0.2900,-4.2010,0.5000,0.5000
-0.3400,-4.2010,0.5000,0.5000
-0.3900,-4.1510,0.5148,0.5148
-0.4400,-4.1010,0.5315,0.5315
-0.4900,-4.0510,0.5148,0.5148
-0.5400,-4.0010,0.5000,0.5000
-0.5900,-4.0010,0.5000,0.5000
-0.6400,-3.9510,0.5148,0.5148
-0.6900,-3.9010,0.5148,0.5148
-0.7400,-3.8510,0.4924,0.4924
-0.7400,-3.8010,0.5148,0.5148
-0.7900,-3.7510,0.4924,0.4924
-0.7900,-3.7010,0.5099,0.5099
-0.8400,-3.6510,0.4743,0.4743
-0.8400,-3.6010,0.4924,0.4924
-0.8400,-3.5510,0.5025,0.5025
-0.8400,-3.5010,0.4924,0.4924
-0.8400,-3.4510,0.4743,0.4743
-0.8400,-3.4010,0.4610,0.4610
-0.8900,-3.3510,0.5025,0.5025
-0.8900,-3.3010,0.5000,0.5000
-0.8900,-3.2510,0.5025,0.5025
-0.8900,-3.2010,0.5000,0.5000
-0.8900,-3.1510,0.5000,0.5000
-0.8900,-3.1010,0.5000,0.5000
-0.8900,-3.0510,0.5000,0.5000
-0.9400,-3.0010,0.5500,0.5500
-0.9400,-2.9510,0.5500,0.5500
-0.9400,-2.9010,0.5500,0.5500
-0.9400,-2.8510,0.5523,0.5523
-0.9400,-2.8010,0.5590,0.5590
-0.9400,-2.7510,0.5701,0.5701
-0.9400,-2.7010,0.5852,0.5852
-0.9400,-2.6510,0.6021,0.6021
-0.9400,-2.6010,0.6083,0.6083
-0.9400,-2.5510,0.6185,0.6185
-0.9400,-2.5010,0.6325,0.6325
-0.9900,-2.4510,0.6325,0.6325
